ref_area,year,studenti,scuole,region,children_6_10,_merge,proj,studenti_proj,ratio,ratio_hat,ratio_lcl,ratio_ucl,scuole_hat,scuole_lcl,scuole_ucl
,2079,,,Marche,78154.0,right_only,BSL,78154.0,,148.73119263390265,139.22072072072072,150.63076923076923,525.4714805681261,518.8448575222143,561.3675866308603
,2080,,,Marche,78421.0,right_only,BSL,78421.0,,148.73119263390265,139.22072072072072,150.63076923076923,527.2666655274588,520.6174037381269,563.2854046008995
ITF2,2015,12466.0,138.0,Molise,,left_only,,12466.0,90.33333333333333,90.33333333333333,90.33333333333333,90.33333333333333,138.0,138.0,138.0
ITF2,2016,12135.0,128.0,Molise,,left_only,,12135.0,94.8046875,94.8046875,94.8046875,94.8046875,128.0,128.0,128.0
ITF2,2017,11987.0,129.0,Molise,,left_only,,11987.0,92.92248062015504,92.92248062015504,92.92248062015504,92.92248062015504,129.0,129.0,129.0
ITF2,2018,11635.0,127.0,Molise,,left_only,,11635.0,91.61417322834646,91.61417322834646,91.61417322834646,91.61417322834646,127.0,127.0,127.0
ITF2,2019,11373.0,125.0,Molise,,left_only,,11373.0,90.984,90.984,90.984,90.984,125.0,125.0,125.0
ITF2,2020,11071.0,116.0,Molise,,left_only,,11071.0,95.4396551724138,95.4396551724138,95.4396551724138,95.4396551724138,116.0,116.0,116.0
ITF2,2021,10919.0,112.0,Molise,,left_only,,10919.0,97.49107142857143,97.49107142857143,97.49107142857143,97.49107142857143,112.0,112.0,112.0
ITF2,2022,10583.0,112.0,Molise,,left_only,,10583.0,94.49107142857143,94.49107142857143,94.49107142857143,94.49107142857143,112.0,112.0,112.0
,2024,,,Molise,21338.0,right_only,BSL,21338.0,,93.70677602436324,90.33333333333333,97.49107142857143,227.71032048367815,218.8713252129316,236.2140221402214
,2025,,,Molise,20855.0,right_only,BSL,20855.0,,93.70677602436324,90.33333333333333,97.49107142857143,222.55594402882687,213.91702536862348,230.86715867158674
,2026,,,Molise,20459.0,right_only,BSL,20459.0,,93.70677602436324,90.33333333333333,97.49107142857143,218.3299956310606,209.8551149372653,226.48339483394835
,2027,,,Molise,19761.0,right_only,BSL,19761.0,,93.70677602436324,90.33333333333333,97.49107142857143,210.8812280006544,202.69548493451782,218.75645756457567
,2028,,,Molise,19090.0,right_only,BSL,19090.0,,93.70677602436324,90.33333333333333,97.49107142857143,203.72059321555045,195.812803370272,211.32841328413286
,2029,,,Molise,18379.0,right_only,BSL,18379.0,,93.70677602436324,90.33333333333333,97.49107142857143,196.13309495592466,188.51982782306072,203.45756457564576
,2030,,,Molise,17907.0,right_only,BSL,17907.0,,93.70677602436324,90.33333333333333,97.49107142857143,191.0961059565669,183.67835882406814,198.23247232472326
,2031,,,Molise,17265.0,right_only,BSL,17265.0,,93.70677602436324,90.33333333333333,97.49107142857143,184.2449471904913,177.0931403974723,191.12546125461256
